ID,Category,English Name,Indonesian Name,Simple Description (Context for AI),Example Sentence (from LKS)
OBJ027,Living Room,fireplace,perapian,A place for fire to warm the room.,We sit in front of the fireplace.
OBJ028,Living Room,bookcase,rak buku,A shelf to store books.,I put my books in the bookcase.
OBJ029,Living Room,cushion,bantal duduk,A soft pillow used on a sofa.,The cushion is on the sofa.
OBJ030,Living Room,magazine rack,rak majalah,A rack to keep magazines.,The magazine is in the magazine rack.
OBJ031,Living Room,telephone,telepon,A device used to call someone.,The telephone is on the table.
OBJ032,Bedroom,alarm clock,jam weker,A clock that can ring to wake you up.,The alarm clock is on the table.
OBJ033,Bedroom,comb,sisir,A small tool used to tidy hair.,I use a comb every morning.
OBJ034,Bedroom,hairbrush,sisir sikat,A brush used to comb hair.,I use a hairbrush to comb my hair.
OBJ035,Bedroom,mirror,cermin,A small mirror to see your face.,I look at myself in the mirror.
OBJ036,Bedroom,hanger,gantungan baju,A tool to hang clothes in the cupboard.,I hang my clothes on the hanger.
OBJ037,Bedroom,doll,boneka,A small toy doll.,The doll is on the bed.
OBJ038,Bedroom,teddy bear,boneka beruang,A small teddy bear toy.,I sleep with my teddy bear.
OBJ039,Bedroom,toy car,mobil-mobilan,A small toy car.,The toy car is under the bed.
OBJ040,Bedroom,socks,kaos kaki,Clothes for your feet.,I wear socks every day.
OBJ041,Bedroom,slippers,sandal tidur,Soft sandals used inside the bedroom.,I wear slippers in my bedroom.
OBJ042,Bedroom,storybook,buku cerita,A small storybook to read.,I read a storybook at night.
OBJ043,Bedroom,diary,buku harian,A small book to write daily stories.,I write in my diary.
OBJ044,Bedroom,night lamp,lampu tidur,A small lamp used at night.,I turn on the night lamp.
OBJ045,Bedroom,photograph,foto,A family or personal photograph.,There is a photograph on the table.
OBJ046,Bedroom,perfume,parfum,A small bottle with a nice smell.,I use perfume before school.
OBJ047,Bedroom,piggy bank,celengan,A small container to save money.,I save my money in the piggy bank.
OBJ048,Bedroom,bed,kasur,A place to sleep.,I sleep on the bed at night.
OBJ049,Bedroom,pillow,bantal,A soft object for your head when sleeping.,There is a pillow on the bed.
OBJ050,Bedroom,bolster,bantal guling,A long pillow to hug while sleeping.,There is a bolster on the bed.
OBJ051,Bedroom,blanket,selimut,A cloth to cover your body when sleeping.,I use a blanket at night.
OBJ052,Bedroom,bed sheet,sprei,A cloth that covers the bed.,The bed sheet is clean.
OBJ053,Bedroom,door,pintu,An entrance to the bedroom.,I close the door when I leave.
OBJ054,Bedroom,window,jendela,An opening to let air and light in.,The window is open.
OBJ055,Bedroom,table,meja,A small table in the bedroom.,The table is beside the bed.
OBJ056,Bedroom,chair,kursi,A chair for sitting.,I sit on the chair.
OBJ057,Bedroom,lamp,lampu,A lamp to light the room.,The lamp is on.
OBJ058,Bedroom,picture,foto,A picture on the wall.,There is a picture on the wall.
OBJ059,Bedroom,television,televisi,A TV to watch shows.,I watch cartoon on the television.
OBJ060,Bedroom,book,buku,A book to read or write.,I write my homework in my book.
OBJ061,Bedroom,bag,tas,A bag to carry school things.,My bag is on the chair.
OBJ062,Bedroom,clock,jam dinding,A wall clock to tell time.,The clock is on the wall.
OBJ063,Bedroom,cupboard,lemari,A place to store clothes.,I take my clothes from the cupboard.
OBJ064,Bedroom,curtain,gorden,A cloth to cover the window.,The curtain is closed.
OBJ065,Bedroom,computer,komputer,A device used for work or games.,I save my pictures on the computer.
OBJ066,Bedroom,laptop,laptop,A small portable computer.,I use my laptop for homework.
OBJ067,Bedroom,clothes,baju,Things you wear.,I put my clothes in the cupboard.
OBJ068,Bedroom,pants,celana,Clothes you wear on your legs.,I put my pants in the cupboard.
OBJ069,Bedroom,shoes,sepatu,Footwear for outside.,Every Sunday I wash my shoes.
OBJ070,Bedroom,underwear,baju dalam,Clothes worn under other clothes.,I put my underwear in the cupboard.
OBJ071,Bedroom,switch,stopkontak,A switch or socket to turn on electricity.,I turn on the switch.
OBJ072,Bedroom,jacket,jaket,A warm outer clothing.,I wear a jacket when it is cold.
OBJ073,Bedroom,carpet,karpet,A floor covering.,The carpet is on the floor.
OBJ074,Living Room,tape,perekat,"Tape is a long, thin strip of material with an adhesive side, used for sticking, binding, or fastening objects together",Tape is essential for securely fastening items.
